Wavelength,Reflectance
460.900,0.925005
461.000,0.925015
461.100,0.925024
461.200,0.925034
461.300,0.925044
461.400,0.925054
461.500,0.925065
461.600,0.925075
461.700,0.925085
461.800,0.925096
461.900,0.925104
462.000,0.925115
462.100,0.925125
462.200,0.925136
462.300,0.925146
462.400,0.925156
462.500,0.925167
462.600,0.925177
462.700,0.925187
462.800,0.925198
462.900,0.925208
463.000,0.925219
463.100,0.925231
463.200,0.925242
463.300,0.925252
463.400,0.925261
463.500,0.925273
463.600,0.925284
463.700,0.925295
463.800,0.925306
463.900,0.925317
464.000,0.925328
464.100,0.925340
464.200,0.925350
464.300,0.925361
464.400,0.925373
464.500,0.925384
464.600,0.925395
464.700,0.925407
464.800,0.925419
464.900,0.925430
465.000,0.925442
465.100,0.925454
465.200,0.925466
465.300,0.925477
465.400,0.925489
465.500,0.925501
465.600,0.925512
465.700,0.925524
465.800,0.925536
465.900,0.925548
466.000,0.925560
466.100,0.925572
466.200,0.925584
466.300,0.925597
466.400,0.925609
466.500,0.925622
466.600,0.925634
466.700,0.925647
466.800,0.925659
466.900,0.925671
467.000,0.925684
467.100,0.925698
467.200,0.925710
467.300,0.925723
467.400,0.925735
467.500,0.925747
467.600,0.925760
467.700,0.925773
467.800,0.925786
467.900,0.925800
468.000,0.925813
468.100,0.925826
468.200,0.925840
468.300,0.925853
468.400,0.925866
468.500,0.925880
468.600,0.925892
468.700,0.925905
468.800,0.925919
468.900,0.925932
469.000,0.925945
469.100,0.925959
469.200,0.925972
469.300,0.925986
469.400,0.926000
469.500,0.926014
469.600,0.926027
469.700,0.926042
469.800,0.926056
469.900,0.926069
470.000,0.926084
470.100,0.926097
470.200,0.926111
470.300,0.926126
470.400,0.926139
470.500,0.926153
470.600,0.926167
470.700,0.926181
470.800,0.926195
470.900,0.926210
471.000,0.926224
471.100,0.926239
471.200,0.926254
471.300,0.926268
471.400,0.926283
471.500,0.926298
471.600,0.926312
471.700,0.926327
471.800,0.926342
471.900,0.926356
472.000,0.926371
472.100,0.926386
472.200,0.926400
472.300,0.926414
472.400,0.926430
472.500,0.926445
472.600,0.926460
472.700,0.926476
472.800,0.926491
472.900,0.926507
473.000,0.926522
473.100,0.926538
473.200,0.926554
473.300,0.926569
473.400,0.926584
473.500,0.926600
473.600,0.926615
473.700,0.926630
473.800,0.926646
473.900,0.926661
474.000,0.926676
474.100,0.926693
474.200,0.926708
474.300,0.926724
474.400,0.926741
474.500,0.926757
474.600,0.926772
474.700,0.926789
474.800,0.926804
474.900,0.926821
475.000,0.926837
475.100,0.926853
475.200,0.926869
475.300,0.926885
475.400,0.926900
475.500,0.926917
475.600,0.926933
475.700,0.926949
475.800,0.926966
475.900,0.926982
476.000,0.926999
476.100,0.927016
476.200,0.927031
476.300,0.927048
476.400,0.927064
476.500,0.927079
476.600,0.927096
476.700,0.927113
476.800,0.927129
476.900,0.927145
477.000,0.927161
477.100,0.927177
477.200,0.927193
477.300,0.927210
477.400,0.927228
477.500,0.927243
477.600,0.927260
477.700,0.927278
477.800,0.927293
477.900,0.927310
478.000,0.927328
478.100,0.927345
478.200,0.927361
478.300,0.927378
478.400,0.927395
478.500,0.927411
478.600,0.927428
478.700,0.927444
478.800,0.927461
478.900,0.927478
479.000,0.927495
479.100,0.927512
479.200,0.927530
479.300,0.927547
479.400,0.927565
479.500,0.927581
479.600,0.927599
479.700,0.927616
479.800,0.927632
479.900,0.927650
480.000,0.927667
480.100,0.927684
480.200,0.927701
480.300,0.927718
480.400,0.927735
480.500,0.927753
480.600,0.927771
480.700,0.927788
480.800,0.927805
480.900,0.927823
481.000,0.927841
481.100,0.927858
481.200,0.927876
481.300,0.927893
481.400,0.927910
481.500,0.927928
481.600,0.927945
481.700,0.927963
481.800,0.927980
481.900,0.927997
482.000,0.928015
482.100,0.928033
482.200,0.928051
482.300,0.928069
482.400,0.928086
482.500,0.928104
482.600,0.928122
482.700,0.928139
482.800,0.928157
482.900,0.928175
483.000,0.928192
483.100,0.928210
483.200,0.928227
483.300,0.928244
483.400,0.928262
483.500,0.928280
483.600,0.928299
483.700,0.928315
483.800,0.928334
483.900,0.928352
484.000,0.928369
484.100,0.928387
484.200,0.928405
484.300,0.928422
484.400,0.928439
484.500,0.928458
484.600,0.928475
484.700,0.928492
484.800,0.928511
484.900,0.928529
485.000,0.928545
485.100,0.928564
485.200,0.928582
485.300,0.928598
485.400,0.928616
485.500,0.928634
485.600,0.928651
485.700,0.928669
485.800,0.928687
485.900,0.928703
486.000,0.928721
486.100,0.928739
486.200,0.928757
486.300,0.928774
486.400,0.928792
486.500,0.928810
486.600,0.928827
486.700,0.928844
486.800,0.928862
486.900,0.928878
487.000,0.928896
487.100,0.928914
487.200,0.928930
487.300,0.928948
487.400,0.928965
487.500,0.928981
487.600,0.928999
487.700,0.929016
487.800,0.929034
487.900,0.929051
488.000,0.929068
488.100,0.929086
488.200,0.929102
488.300,0.929120
488.400,0.929137
488.500,0.929153
488.600,0.929170
488.700,0.929187
488.800,0.929203
488.900,0.929219
489.000,0.929237
489.100,0.929254
489.200,0.929269
489.300,0.929287
489.400,0.929304
489.500,0.929320
489.600,0.929336
489.700,0.929353
489.800,0.929371
489.900,0.929386
490.000,0.929403
490.100,0.929419
490.200,0.929435
490.300,0.929450
490.400,0.929466
490.500,0.929483
