Wavelength,Reflectance
471.600,0.811687
471.700,0.811679
471.800,0.811672
471.900,0.811664
472.000,0.811657
472.100,0.811649
472.200,0.811642
472.300,0.811634
472.400,0.811626
472.500,0.811618
472.600,0.811612
472.700,0.811603
472.800,0.811594
472.900,0.811586
473.000,0.811577
473.100,0.811569
473.200,0.811560
473.300,0.811551
473.400,0.811542
473.500,0.811534
473.600,0.811528
473.700,0.811519
473.800,0.811511
473.900,0.811502
474.000,0.811493
474.100,0.811483
474.200,0.811473
474.300,0.811463
474.400,0.811454
474.500,0.811444
474.600,0.811436
474.700,0.811427
474.800,0.811417
474.900,0.811407
475.000,0.811397
475.100,0.811387
475.200,0.811377
475.300,0.811367
475.400,0.811358
475.500,0.811348
475.600,0.811340
475.700,0.811329
475.800,0.811318
475.900,0.811307
476.000,0.811295
476.100,0.811284
476.200,0.811273
476.300,0.811262
476.400,0.811251
476.500,0.811240
476.600,0.811228
476.700,0.811217
476.800,0.811206
476.900,0.811195
477.000,0.811183
477.100,0.811172
477.200,0.811158
477.300,0.811145
477.400,0.811133
477.500,0.811120
477.600,0.811107
477.700,0.811095
477.800,0.811082
477.900,0.811069
478.000,0.811057
478.100,0.811044
478.200,0.811032
478.300,0.811019
478.400,0.811006
478.500,0.810994
478.600,0.810981
478.700,0.810969
478.800,0.810955
478.900,0.810941
479.000,0.810927
479.100,0.810912
479.200,0.810898
479.300,0.810885
479.400,0.810870
479.500,0.810853
479.600,0.810839
479.700,0.810825
479.800,0.810810
479.900,0.810797
480.000,0.810782
480.100,0.810768
480.200,0.810754
480.300,0.810739
480.400,0.810724
480.500,0.810708
480.600,0.810692
480.700,0.810676
480.800,0.810661
480.900,0.810645
481.000,0.810629
481.100,0.810612
481.200,0.810597
481.300,0.810580
481.400,0.810565
481.500,0.810549
481.600,0.810533
481.700,0.810514
481.800,0.810498
481.900,0.810482
482.000,0.810465
482.100,0.810447
482.200,0.810430
482.300,0.810412
482.400,0.810394
482.500,0.810376
482.600,0.810359
482.700,0.810341
482.800,0.810323
482.900,0.810305
483.000,0.810288
483.100,0.810270
483.200,0.810252
483.300,0.810234
483.400,0.810216
483.500,0.810199
483.600,0.810180
483.700,0.810160
483.800,0.810140
483.900,0.810120
484.000,0.810098
484.100,0.810079
484.200,0.810059
484.300,0.810040
484.400,0.810020
484.500,0.810000
484.600,0.809981
484.700,0.809961
484.800,0.809942
484.900,0.809921
485.000,0.809902
485.100,0.809883
485.200,0.809861
485.300,0.809840
485.400,0.809818
485.500,0.809796
485.600,0.809775
485.700,0.809753
485.800,0.809732
485.900,0.809710
486.000,0.809688
486.100,0.809667
486.200,0.809645
486.300,0.809621
486.400,0.809599
486.500,0.809578
486.600,0.809556
486.700,0.809535
486.800,0.809512
486.900,0.809488
487.000,0.809464
487.100,0.809441
487.200,0.809418
487.300,0.809394
487.400,0.809371
487.500,0.809347
487.600,0.809324
487.700,0.809300
487.800,0.809277
487.900,0.809254
488.000,0.809230
488.100,0.809207
488.200,0.809183
488.300,0.809160
488.400,0.809135
488.500,0.809107
488.600,0.809082
488.700,0.809056
488.800,0.809031
488.900,0.809006
489.000,0.808980
489.100,0.808955
489.200,0.808930
489.300,0.808904
489.400,0.808879
489.500,0.808854
489.600,0.808829
489.700,0.808803
489.800,0.808778
489.900,0.808750
490.000,0.808723
490.100,0.808696
490.200,0.808669
490.300,0.808639
490.400,0.808612
490.500,0.808585
490.600,0.808559
490.700,0.808529
490.800,0.808502
490.900,0.808475
491.000,0.808448
491.100,0.808421
491.200,0.808392
491.300,0.808364
491.400,0.808338
491.500,0.808310
491.600,0.808279
491.700,0.808251
491.800,0.808222
491.900,0.808194
492.000,0.808162
492.100,0.808134
492.200,0.808106
492.300,0.808077
492.400,0.808049
492.500,0.808018
492.600,0.807989
492.700,0.807961
492.800,0.807932
492.900,0.807901
493.000,0.807873
493.100,0.807844
493.200,0.807814
493.300,0.807784
493.400,0.807752
493.500,0.807722
493.600,0.807692
493.700,0.807663
493.800,0.807630
493.900,0.807601
494.000,0.807571
494.100,0.807542
494.200,0.807509
494.300,0.807480
494.400,0.807450
494.500,0.807420
494.600,0.807391
494.700,0.807358
494.800,0.807327
494.900,0.807296
495.000,0.807266
495.100,0.807233
495.200,0.807202
495.300,0.807171
495.400,0.807140
495.500,0.807107
495.600,0.807077
495.700,0.807046
495.800,0.807015
495.900,0.806985
496.000,0.806951
496.100,0.806921
496.200,0.806890
496.300,0.806859
496.400,0.806825
496.500,0.806794
496.600,0.806763
496.700,0.806732
496.800,0.806698
496.900,0.806667
497.000,0.806636
497.100,0.806605
497.200,0.806573
497.300,0.806540
497.400,0.806508
497.500,0.806477
497.600,0.806446
497.700,0.806412
497.800,0.806381
497.900,0.806350
498.000,0.806318
498.100,0.806287
498.200,0.806253
498.300,0.806221
498.400,0.806190
498.500,0.806158
498.600,0.806124
498.700,0.806092
498.800,0.806061
498.900,0.806030
499.000,0.805995
499.100,0.805964
499.200,0.805932
499.300,0.805901
499.400,0.805869
499.500,0.805835
499.600,0.805803
499.700,0.805772
499.800,0.805741
499.900,0.805706
500.000,0.805675
500.100,0.805644
500.200,0.805612
500.300,0.805578
500.400,0.805546
500.500,0.805515
500.600,0.805483
500.700,0.805452
500.800,0.805418
500.900,0.805386
501.000,0.805355
501.100,0.805323
501.200,0.805290
501.300,0.805258
501.400,0.805227
501.500,0.805196
501.600,0.805162
501.700,0.805131
501.800,0.805100
501.900,0.805069
502.000,0.805037
502.100,0.805003
502.200,0.804972
502.300,0.804941
502.400,0.804910
502.500,0.804876
502.600,0.804844
502.700,0.804814
502.800,0.804783
502.900,0.804750
